order_id,customer_sk,order_date,product_sk,product_name,category,quantity,unit_price,total_amount,payment_method,order_status,is_completed
ORD-001,1001,2026-08-18,201,Wireless Headphones,Electronics,2,49.99,99.98,Credit Card,completed,true
ORD-002,1002,2026-08-18,202,Running Shoes,Sports,1,129.99,129.99,PayPal,completed,true
ORD-003,1003,2026-08-18,203,Python Programming Book,Books,1,39.99,39.99,Credit Card,completed,true
ORD-004,1004,2026-08-18,204,Stainless Steel Water Bottle,Home & Kitchen,3,24.99,74.97,Debit Card,shipped,false
ORD-005,1005,2026-08-18,205,Yoga Mat,Sports,1,59.99,59.99,Credit Card,completed,true
ORD-006,1006,2026-08-18,206,Bluetooth Speaker,Electronics,1,79.99,79.99,PayPal,completed,true
ORD-007,1007,2026-08-18,207,Organic Coffee Beans,Food & Beverage,2,18.99,37.98,Credit Card,shipped,false
ORD-008,1008,2026-08-18,208,Laptop Stand,Electronics,1,45.99,45.99,Debit Card,completed,true
ORD-009,1009,2026-08-18,209,Resistance Bands,Sports,1,29.99,29.99,Credit Card,completed,true
ORD-010,1010,2026-08-18,210,LED Desk Lamp,Home & Kitchen,1,34.99,34.99,PayPal,processing,false
